City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
76,Narsaq,GL,2019-11-09 02:12:23,60.91,-46.05,37.4,37,0,3.36
77,Chumikan,RU,2019-11-09 02:16:51,54.72,135.31,15.49,43,0,22.88
78,Hualmay,PE,2019-11-09 02:16:51,-11.1,-77.61,62.85,79,17,2.59
79,Isangel,VU,2019-11-09 02:16:51,-19.55,169.27,82.4,65,20,9.17
80,Solntsevo,RU,2019-11-09 02:16:52,53.34,40.13,39.22,97,66,5.84
81,Ishigaki,JP,2019-11-09 02:16:52,24.34,124.16,75.2,57,40,17.22
82,Paracelis,PH,2019-11-09 02:16:52,17.18,121.4,77.7,86,100,6.51
83,Vila Franca Do Campo,PT,2019-11-09 02:16:52,37.72,-25.43,62.6,88,75,5.82
84,Broken Hill,AU,2019-11-09 02:16:52,-31.97,141.45,57.2,29,0,13.87
85,Sioux Lookout,CA,2019-11-09 02:12:01,50.1,-91.92,19.4,85,90,4.7
86,Tigil,RU,2019-11-09 02:16:53,57.8,158.67,36.3,64,100,8.21
87,Three Hills,CA,2019-11-09 02:16:53,51.7,-113.27,39.99,86,90,2.24
88,Grootegast,NL,2019-11-09 02:16:53,53.21,6.27,39.2,93,0,6.93
89,Lichinga,MZ,2019-11-09 02:16:53,-13.3,35.25,64.4,88,43,12.75
90,Tiksi,RU,2019-11-09 02:16:54,71.64,128.87,-18.58,89,0,4.74
91,Nikolskoye,RU,2019-11-09 02:16:54,59.7,30.79,33.01,97,90,4.47
92,Yellowknife,CA,2019-11-09 02:16:48,62.45,-114.38,12.2,85,90,9.17
93,Gabriel Leyva Solano,MX,2019-11-09 02:16:54,25.66,-108.64,82.99,54,75,13.87
94,Avarua,CK,2019-11-09 02:16:54,-21.21,-159.78,75.2,78,77,8.05
95,Vaini,IN,2019-11-09 02:16:54,15.34,74.49,64.4,100,75,2.15
96,Berthierville,CA,2019-11-09 02:16:55,46.08,-73.17,28.0,62,1,6.93
97,Olovyannaya,RU,2019-11-09 02:16:55,50.94,115.59,35.55,59,27,7.61
98,Dikson,RU,2019-11-09 02:16:55,73.51,80.55,-1.57,97,96,10.33
99,Tuatapere,NZ,2019-11-09 02:16:56,-46.13,167.69,69.01,58,100,11.99
100,Dingle,PH,2019-11-09 02:16:56,11.0,122.67,85.98,67,2,10.27
101,Hilo,US,2019-11-09 02:13:48,19.71,-155.08,82.4,65,75,8.05
102,Joao Camara,BR,2019-11-09 02:16:56,-5.54,-35.82,77.0,78,40,6.93
103,Qasigiannguit,GL,2019-11-09 02:16:57,68.82,-51.19,37.4,34,100,19.46
104,Umm Lajj,SA,2019-11-09 02:16:57,25.02,37.27,74.25,67,0,3.36
105,Vanimo,PG,2019-11-09 02:16:57,-2.67,141.3,83.26,65,100,3.49
106,Southbridge,US,2019-11-09 02:16:57,42.08,-72.03,28.99,53,1,13.87
107,Atuona,PF,2019-11-09 02:16:57,-9.8,-139.03,79.84,78,0,12.8
108,Smithers,CA,2019-11-09 02:14:07,54.78,-127.17,37.4,100,90,2.95
109,Newcastleton,GB,2019-11-09 02:16:58,55.18,-2.81,32.0,90,100,2.24
110,Ejido,VE,2019-11-09 02:16:58,8.55,-71.24,47.44,88,56,3.6
111,Mount Isa,AU,2019-11-09 02:16:58,-20.73,139.49,87.8,11,22,18.34
112,Tuktoyaktuk,CA,2019-11-09 02:16:59,69.44,-133.03,6.8,77,90,2.24
113,Lata,IN,2019-11-09 02:16:59,30.78,78.62,31.32,23,0,3.13
114,Butaritari,KI,2019-11-09 02:16:59,3.07,172.79,84.24,66,88,8.77
115,Lorengau,PG,2019-11-09 02:16:59,-2.02,147.27,83.43,75,66,5.59
116,Belmonte,PT,2019-11-09 02:16:59,40.36,-7.35,43.0,95,66,4.41
117,College,US,2019-11-09 02:17:00,64.86,-147.8,19.4,72,1,8.05
118,Frutal,BR,2019-11-09 02:17:00,-20.02,-48.93,75.02,78,100,5.53
119,Hauterive,CA,2019-11-09 02:17:00,49.18,-68.27,28.4,58,40,4.7
120,Dostpur,IN,2019-11-09 02:17:00,26.27,82.47,76.26,57,0,2.28
121,Port Lincoln,AU,2019-11-09 02:13:53,-34.72,135.86,64.33,42,0,11.56
122,Longyearbyen,NO,2019-11-09 02:17:01,78.22,15.63,26.6,68,75,19.46
123,Alofi,NU,2019-11-09 02:17:01,-19.06,-169.92,82.4,69,75,13.87
124,Hobo,CO,2019-11-09 02:17:01,2.58,-75.45,86.0,51,40,4.7
125,Udachnyy,RU,2019-11-09 02:17:02,66.42,112.4,-2.21,84,90,6.71
126,Solenzo,BF,2019-11-09 02:17:02,12.18,-4.08,80.49,42,0,4.14
127,Pacific Grove,US,2019-11-09 02:15:47,36.62,-121.92,60.01,81,75,6.93
128,Quang Ngai,VN,2019-11-09 02:17:02,15.12,108.8,77.2,74,100,22.77
129,Trang,TH,2019-11-09 02:17:03,7.56,99.61,75.2,100,75,2.24
130,Bushehr,IR,2019-11-09 02:17:03,28.97,50.84,73.4,53,0,9.17
131,Mokhsogollokh,RU,2019-11-09 02:17:03,61.4,128.95,-6.8,91,17,3.42
132,Belyy Yar,RU,2019-11-09 02:17:03,53.6,91.39,41.0,60,100,17.9
133,San Patricio,PY,2019-11-09 02:17:03,-26.98,-56.83,73.08,90,0,4.45
134,Puebloviejo,CO,2019-11-09 02:17:04,10.99,-74.28,84.2,70,40,7.23
