City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
938,Inirida,CO,83.21,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
948,Tingloy,PH,78.01,light rain,13.66,120.87,Sea's Spring Resort
961,Bad Sachsa,DE,46.0,light rain,51.6,10.55,Göbel's Vital Hotel
989,Sao Gabriel Da Cachoeira,BR,87.8,moderate rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
992,Belmonte,PT,55.0,light rain,40.36,-7.35,Pousada Convento de Belmonte
1002,Lannion,FR,50.0,light rain,48.73,-3.46,Hotel Arcadia
1003,Tautira,PF,78.8,light rain,-17.73,-149.15,Pension Oaoa
1010,Shiyan,CN,55.99,light rain,32.65,110.78,Karen International Hotel
1019,Dukat,AL,63.0,moderate rain,40.25,19.57,Llogora Tourist Village
1027,Kapaa,US,71.6,moderate rain,22.08,-159.32,Courtyard by Marriott Kaua'i at Coconut Beach
1028,Olinda,AU,54.0,light rain,-37.84,145.39,Mary Cards Coach House
1029,Zetel,DE,45.0,light rain,53.42,7.97,Friesische Wehde
1030,Redmond,US,50.0,light rain,47.67,-122.12,Seattle Marriott Redmond
1031,Immokalee,US,71.01,moderate rain,26.42,-81.42,Seminole Casino Hotel Immokalee
1034,Kapaa,US,71.6,moderate rain,22.08,-159.32,Courtyard by Marriott Kaua'i at Coconut Beach
1035,Olinda,AU,54.0,light rain,-37.84,145.39,Mary Cards Coach House
1036,Zetel,DE,45.0,light rain,53.42,7.97,Friesische Wehde
1037,Redmond,US,50.0,light rain,47.67,-122.12,Seattle Marriott Redmond
1038,Immokalee,US,71.01,moderate rain,26.42,-81.42,Seminole Casino Hotel Immokalee
1045,Hofn,IS,45.32,light rain,64.25,-15.21,Hótel Höfn
1046,Rikitea,PF,73.42,light rain,-23.12,-134.97,Pension Maro'i
1063,Finschhafen,PG,78.17,moderate rain,-6.6,147.85,
1085,Kapaa,US,71.6,moderate rain,22.08,-159.32,Courtyard by Marriott Kaua'i at Coconut Beach
1087,Kaitangata,NZ,51.01,moderate rain,-46.28,169.85,
1089,Mataura,NZ,48.99,moderate rain,-46.19,168.86,Ellie's Villa
1110,Manokwari,ID,74.1,light rain,-0.87,134.08,Swiss Belhotel Manokwari
1137,Majene,ID,76.69,light rain,-3.54,118.97,Kost Putri RABBANI
1138,Olinda,AU,54.0,light rain,-37.84,145.39,Mary Cards Coach House
1139,Tangshan,CN,53.01,light rain,39.63,118.17,Civil Affairs Hotel
1140,Burnie,AU,51.01,light rain,-41.05,145.91,Beachfront Voyager Motor Inn
1152,Tevaitoa,PF,80.4,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
1160,San Quintin,PH,72.5,light rain,17.54,120.52,San Quintin River Resort
1170,Naze,NG,82.69,light rain,5.43,7.07,Female Hostel C
1193,Faanui,PF,80.8,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
1198,Kavieng,PG,79.39,moderate rain,-2.57,150.8,Nusa Island Retreat
1199,Mendi,ET,66.67,light rain,9.8,35.1,Jline Nus Hotel
1232,Richards Bay,ZA,69.26,light rain,-28.77,32.06,BON Hotel Waterfront Richards Bay
1238,Zetel,DE,45.0,light rain,53.42,7.97,Friesische Wehde
1241,Ko Samui,TH,81.28,moderate rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
1246,Kandrian,PG,72.91,light rain,-6.21,149.55,
1253,Santiago,PH,70.38,heavy intensity rain,16.69,121.54,GraceHill EconoSuites
1286,Kalmunai,LK,81.77,light rain,7.42,81.82,VS Villa
